"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"4192",712455018234957824,"realRobMWilson","C","","",0,0,33,40
"4193",712456029758328832,"mighty_gypsy","C","California","US",36.77826,-119.41793,2,7
"4194",712463749303635968,"CerteroJuan","C","","",0,0,48,57
"4195",712475479652110336,"bryce_tieman38","C","Springville, IN ","US",38.93616,-86.61944,65,274
"4196",712569864758681600,"A_Random_Rawrrr","T","","",0,0,64,68
"4197",712584149547094016,"PatriciaJMay1","C","","",0,0,11,13
"4198",712628663062106112,"rightwingsiren","C","","",0,0,150,207
"4199",712642372840980480,"mrsdwarner","C","","",0,0,9,7
"4200",712692374342795264,"TrumpLies2Us","C","United States","US",37.09024,-95.71289,1,3
"4201",712695075025739776,"MarkSouza9","C","","",0,0,12,9
"4202",712722550669770752,"gcworkins1","C","Richardson, TX","US",32.94833,-96.72985,17,39
"4203",712745881557016576,"IvyGirl9","C","Oklahoma, USA","US",35.00775,-97.09288,11,88
"4204",712765848075698176,"ufly4fun2","T","","",0,0,57,46
"4205",712778290201804800,"LizF2016","C","","",0,0,6,7
"4206",712797911848001536,"Pol4Trump","C","","",0,0,NA,NA
"4207",712819464782225408,"beachchick001","C","South Carolina, USA","US",33.83608,-81.16372,154,182
"4208",712831039803097088,"DixieDaily","T","","",0,0,30,44
"4209",712862315574599680,"browt1971","C","","",0,0,1,5
"4210",712875562419757056,"Frell666","C","Mount Morris, IL","US",42.05031,-89.43122,3,15
"4211",712991673601695744,"stanislawdebski","C","","",0,0,6,19
"4212",712996515795472384,"kathi_hagge","C","Nebraska, USA","US",41.49254,-99.90181,13,74
"4213",713011746135531520,"500Mag","C","","",0,0,18,11
"4214",713027558590251008,"Jenn1979xo","C","Toronto, Ontario, Canada","CA",43.65323,-79.38318,83,167
"4215",713029156196323328,"asozial385","C","","",0,0,20,11
"4216",713054896098947072,"NadetteDQ","T","","",0,0,7,26
"4217",713099220425658368,"jonolmstead1","C","","",0,0,41,75
"4218",713105519473348608,"GlennCoors2","C","Chico, CA","US",39.72849,-121.83748,5,9
"4219",713107539920072704,"mdiamond241","T","Ontario, Canada","CA",51.25378,-85.32321,11,23
"4220",713119199359549440,"DavidlFranklin3","T","","",0,0,1,9
"4221",713124827423440896,"BreckenridgeTay","T","","",0,0,NA,NA
"4222",713129336413495296,"LeslieStrika","C","","",0,0,57,121
"4223",713131050306781184,"wisziggy","C","Menomonee Falls, WI","US",43.1789,-88.11731,44,38
"4224",713151293171195904,"llrpipp56Morton","C","Tennessee, USA","US",35.51749,-86.58045,2,3
"4225",713154718982209536,"HowardRosenber6","C","Phoenix, AZ","US",33.44838,-112.07404,3,18
"4226",713181919689707520,"RoteCaption","C","Pennsylvania, USA","US",41.20332,-77.19452,9,60
"4227",713203538340372480,"MeNMyMister","T","Vancouver, WA","US",45.63873,-122.66149,17,16
"4228",713212239092846592,"Brianmy10293468","C","","",0,0,72,162
"4229",713320053454868480,"jcsilva1966","C","Coral Springs, FL","US",26.27119,-80.2706,43,149
"4230",713382662434648064,"33Thinker","T","","",0,0,13,40
"4231",713400324627640320,"Burnett2266","T","","",0,0,4,35
"4232",713405263290757120,"ElizabethNBruc1","C","","",0,0,18,88
"4233",713473496689590272,"BillyJenkins550","C","","",0,0,11,39
"4234",713475644890423296,"BiafraOrigin","C","","",0,0,28,51
"4235",713477063076929536,"StevenKorbel","C","","",0,0,33,19
"4236",713498529898053632,"Jeremyawtbwesaw","C","","",0,0,2,3
"4237",713518568294518784,"snickle9","T","Florida, USA","US",27.66483,-81.51575,17,10
"4238",713519001012449280,"MFLLangan","C","Pennsylvania, USA","US",41.20332,-77.19452,82,158
"4239",713520782304002048,"CraigKline909","C","","",0,0,7,22
"4240",713527960238600192,"rrodriguezgirl2","T","","",0,0,3,8
"4241",713552572158574592,"Benelliot3","T","Missouri, USA","US",37.96425,-91.83183,90,152
"4242",713556340510179328,"JimmyDukakis","C","","",0,0,47,121
"4243",713704554341208064,"BubbaBabyBoy","C","Florida, USA","US",27.66483,-81.51575,42,95
"4244",713720392393875456,"BhawksGo","C","","",0,0,8,22
"4245",713725839297355776,"bronxtale0423","C","","",0,0,1,2
"4246",713745465309667328,"regularguy78","C","United States","US",37.09024,-95.71289,40,111
"4247",713755837928439808,"FloranceBarret3","T","","",0,0,9,56
"4248",713767367000596480,"mxxxx01","C","","",0,0,129,233
"4249",713774847835262976,"TrentFuller7","C","","",0,0,14,17
"4250",713781393684369408,"SonicDeanBoom","C","Earth","US",34.23314,-102.41075,124,234
"4251",713795820190089216,"thatkidjoshuaaa","C","","",0,0,9,16
"4252",713846987343290368,"Alan60369143","C","","",0,0,13,44
"4253",713854330181328896,"JamesAllinger","T","","",0,0,24,161
"4254",713857567898910720,"JOEAVERAGE1965","C","","",0,0,54,45
"4255",713912824834105344,"brad_bode","C","","",0,0,11,21
"4256",713915215730098176,"WomenLoveTrump","C","","",0,0,78,99
"4257",713916385806540800,"Rickied322","C","","",0,0,2,1
"4258",713922338157371392,"DaleBachman","C","","",0,0,62,169
"4259",713963069827776512,"Stephan76149055","C","","",0,0,5,15
"4260",714018915135922176,"JamesRo39903454","T","","",0,0,6,30
"4261",714066458536452096,"Reverent_Leader","C","Animal Farm","ZA",-29.75959,30.74479,31,36
"4262",714094395016908800,"RamiroMor31","T","","",0,0,21,35
"4263",714124396793896960,"JAKEANDMOLLY45","C","","",0,0,20,81
"4264",714174509771841536,"AsimoleN","C","Owerri Nigeria","NG",5.48906,7.01759,26,94
"4265",714178029086314496,"LetsGoBigDon","C","","",0,0,38,31
"4266",714182071548256256,"patrperfection","C","New Jersey, USA","US",40.05832,-74.40566,28,29
"4267",714186439303389184,"Shareef_Dollar","T","India ","IN",20.59368,78.96288,13,11
"4268",714217082976505856,"SayItIn140com","C","","",0,0,10,33
"4269",714231379689545728,"Dianaheyser1","T","","",0,0,3,3
"4270",714254601617334272,"two_edge_sword","C","","",0,0,77,133
"4271",714262894762975232,"ezzel_diane","C","","",0,0,1,1
"4272",714278348961132544,"loveshaq628","C","","",0,0,17,50
"4273",714448256441393152,"joey_jenks15","C","","",0,0,16,46
"4274",714460837625237504,"wisecc1","C","Indiana, USA","US",40.26719,-86.1349,3,14
"4275",714494680520495104,"jamesrwilkins","C","","",0,0,1,1
"4276",714504447640993792,"NHLKamikazeJets","C","","",0,0,23,51
"4277",714562691700920320,"rainofrhythem","T","","",0,0,2,1
"4278",714583056351252480,"JohnLaw45755868","C","Enterprise, AL","US",31.31517,-85.85522,83,128
"4279",714587349720535040,"MollyPatsky","C","","",0,0,11,6
"4280",714602578529665024,"kimbermiles0","C","","",0,0,6,8
"4281",714621645009326080,"NicholasScolaro","C","","",0,0,2,5
"4282",714627870522544128,"AngryTrumpkin","C","Intercourse, PA","US",40.03838,-76.1075,41,79
"4283",714630714025705472,"Joerassic_Park","T","New York, USA","US",40.71278,-74.00594,29,62
"4284",714633790749077504,"FLConserve941","C","Florida, USA","US",27.66483,-81.51575,179,181
"4285",714638084810346496,"Debra22178516","C","","",0,0,5,80
"4286",714639419639078912,"FinnViks","C","","",0,0,26,56
"4287",714639482759299072,"3angelsandus","C","","",0,0,42,59
"4288",714643054993350656,"Reynoldsa69","T","Alaska, USA","US",64.20084,-149.49367,302,606
"4289",714651322872643584,"ihatepeople7955","C","","",0,0,1,6
"4290",714655167300431872,"SchlongedUp","C","","",0,0,NA,NA
"4291",714668671206035456,"tranghazz","T","","",0,0,37,17
"4292",714836176360878080,"TrumptheAlpha","C","","",0,0,NA,NA
"4293",714858023206928384,"diana_dee3333","C","","",0,0,20,72
"4294",714862925136027648,"BlueNGold92","C","California, USA","US",36.77826,-119.41793,24,31
"4295",714890686546448384,"UpvoteRockets","C","","",0,0,11,42
"4296",714891028717670400,"CaptainKoch68","C","","",0,0,23,30
"4297",714895954185469952,"LumpyNewsCom","C","","",0,0,59,258
"4298",714896144602505216,"ladene23","C","","",0,0,3,2
"4299",714897893187055616,"debraga71012407","C","","",0,0,3,2
"4300",714927424375545856,"LiquidSnake100","C","","",0,0,71,140
"4301",714941682727460864,"JohnCon79585959","C","","",0,0,1,37
"4302",714953537936031744,"ElyKmpra","T","","",0,0,8,22
"4303",714955933449920512,"112yogi","C","United States","US",37.09024,-95.71289,15,20
